gene chr start
327 PRKACB chr1 84543657
328 SAMD13 chr1 84764048
329 LINC01461 chr1 85086714
330 LPAR3 chr1 85358896
331 MCOLN2 chr1 85462805
332 WDR63 chr1 85527980
333 C1orf52 chr1 85725355
334 COL24A1 chr1 86622121
335 CLCA2 chr1 86889565
336 LOC105378828 chr1 87170176
337 HS2ST1 chr1 87380334
338 LOC101927844 chr1 87678351
339 PKN2 chr1 89149826
340 GBP1 chr1 89531043
341 GBP4 chr1 89664633
342 LRRC8B chr1 89990396
343 LRRC8D chr1 90286572
344 HFM1 chr1 91870426
345 RPAP2 chr1 92764521
346 EVI5 chr1 93257961
347 MTF2 chr1 93544791
348 CCDC18 chr1 93646272
349 FNBP1L chr1 93913687
350 BCAR3 chr1 94146926
351 ABCA4 chr1 94586705
352 ABCD3 chr1 94883932
353 LINC01057 chr1 95285837
354 SLC44A3 chr1 95285897
355 TMEM56-RWDD3 chr1 95583478
356 LOC101928118 chr1 95699538
357 LINC01761 chr1 95940292
358 LINC01787 chr1 96839681
359 PTBP2 chr1 97187160
360 DPYD chr1 98386615
361 DPYD-AS1 chr1 97561478
362 LINC01776 chr1 98676266
363 SNX7 chr1 99127235
364 LOC100129620 chr1 99469831
365 PLPPR4 chr1 99729847
366 PALMD chr1 100111430
367 MFSD14A chr1 100503788
368 CDC14A chr1 100810570
369 VCAM1 chr1 101185195
370 OLFM3 chr1 102462790
371 COL11A1 chr1 103574052
372 RNPC3 chr1 104068577
373 AMY1A chr1 104198140
374 VAV3 chr1 108231126
375 VAV3-AS1 chr1 108507064
376 STXBP3 chr1 109289256
377 GPSM2 chr1 109419602
378 WDR47 chr1 109584850
379 KIAA1324 chr1 109656584
380 MYBPHL chr1 109849663
381 GSTM1 chr1 110230417
382 KCNC4 chr1 110753335
383 RBM15 chr1 110881944
384 DRAM2 chr1 111682838
385 TMIGD3 chr1 112106625
386 KCND3 chr1 112531777
387 CTTNBP2NL chr1 112938799
388 ST7L chr1 113161761
389 LINC01356 chr1 113393265
390 LRIG2 chr1 113615791
391 MAGI3 chr1 113933474
392 AP4B1-AS1 chr1 114355233
393 BCL2L15 chr1 114430169
394 SYT6 chr1 114695062
395 TRIM33 chr1 115053781
396 DENND2C chr1 115212732
397 SYCP1 chr1 115397423
398 TSPAN2 chr1 115632121
399 NGF chr1 115880857
400 CASQ2 chr1 116311426
401 SLC22A15 chr1 116519118
402 ATP1A1 chr1 116915794
403 IGSF3 chr1 117209578
404 CD2 chr1 117297051
405 CD101 chr1 117544371
406 LOC101929099 chr1 117602112
407 VTCN1 chr1 117746458
408 MAN1A2 chr1 117910084
409 SPAG17 chr1 118727848
410 WARS2 chr1 119683295
411 LOC101929147 chr1 119683018
412 HAO2 chr1 119911398
413 FAM72B chr1 120839004
414 SRGAP2-AS1 chr1 121139765
415 SRGAP2C chr1 121107153
416 PDE4DIP chr1 144995033
417 NOTCH2NL chr1 145209112
418 NBPF10 chr1 145293370
419 LIX1L chr1 145477066
420 RNF115 chr1 145610989
421 NBPF12 chr1 146373856
422 FMO5 chr1 146697230
423 LINC00624 chr1 146989699
424 BCL9 chr1 147013270
425 GPR89B chr1 147400505
426 NBPF11 chr1 147608092
427 LOC101927468 chr1 147719342
428 LOC388692 chr1 149288353
429 PPIAL4C chr1 149553002
430 VPS45 chr1 150039349
431 RPRD2 chr1 150336586
432 TARS2 chr1 150459839
433 ENSA chr1 150602098
434 CTSS chr1 150738433
435 ZNF687 chr1 151254030
436 POGZ chr1 151414681
437 TUFT1 chr1 151512780
438 SNX27 chr1 151584661
439 RORC chr1 151798553
440 FLG-AS1 chr1 152285934
441 CHTOP chr1 153606457
442 GATAD2B chr1 153895451
443 NUP210L chr1 154127592
444 IL6R chr1 154377668
445 KCNN3 chr1 154832338
446 PBXIP1 chr1 154928639
447 EFNA3 chr1 155051347
448 ASH1L chr1 155532324
449 MSTO1 chr1 155579960
450 SYT11 chr1 155829259
451 LMNA chr1 156052336
452 IQGAP3 chr1 156542396
453 PRCC chr1 156737273
454 LRRC71 chr1 156890423
455 FCRL4 chr1 157567870
456 CD5L chr1 157811634
457 SPTA1 chr1 158656506
458 IFI16 chr1 158979681
459 FCRL6 chr1 159770300
460 IGSF9 chr1 159915386
461 KCNJ10 chr1 160040051
462 CASQ1 chr1 160160284
463 COPA chr1 160313354
464 CD244 chr1 160832692
465 PFDN2 chr1 161087866
466 ATF6 chr1 161736033
467 NOS1AP chr1 162039580
468 DDR2 chr1 162602227
469 RGS5 chr1 163291581
470 NUF2 chr1 163291722
471 LMX1A chr1 165325478
472 RXRG chr1 165414592
473 LOC400794 chr1 165551392
474 UCK2 chr1 165796731
475 FAM78B chr1 166135992
476 FMO9P chr1 166573152
477 MAEL chr1 166944818
478 POU2F1 chr1 167190065
479 RCSD1 chr1 167599429
480 MPC2 chr1 167905439
481 DCAF6 chr1 167905796
482 TIPRL chr1 168148082
483 DPT chr1 168698442
484 LINC00970 chr1 169056243
485 ATP1B1 chr1 169075946
486 NME7 chr1 169337201
487 BLZF1 chr1 169337116
488 KIFAP3 chr1 170038056
489 METTL11B chr1 170115187
490 PRRX1 chr1 170633312
491 FMO2 chr1 171154346
492 FMO4 chr1 171283321
493 VAMP4 chr1 171711379
494 LOC100506023 chr1 173446294
495 LOC101928673 chr1 173430501
496 SLC9C2 chr1 173572233
497 DARS2 chr1 173793796
498 RC3H1 chr1 173962210
499 RABGAP1L chr1 174128551
500 CACYBP chr1 174968570
501 TNR chr1 175712752
502 PAPPA2 chr1 176432306
503 ASTN1 chr1 177134040
504 LOC730102 chr1 178007142
505 RALGPS2 chr1 178694281
506 FAM20B chr1 178994938
507 ABL2 chr1 179198819
508 AXDND1 chr1 179334854
509 TDRD5 chr1 179560747
510 FAM163A chr1 179696897
511 TOR1AIP2 chr1 179846941
512 CEP350 chr1 179923907
513 LHX4 chr1 180199432
514 XPR1 chr1 180601145
515 MR1 chr1 181002560
516 CACNA1E chr1 181452685
517 LINC01344 chr1 182283196
518 DHX9 chr1 182808438
519 LAMC1 chr1 182992594
520 NMNAT2 chr1 183274009
521 RGL1 chr1 183605181
522 TSEN15 chr1 184020784
523 EDEM3 chr1 184724041
524 FAM129A chr1 184943718
525 SWT1 chr1 185126191
526 HMCN1 chr1 185703682
527 C1orf27 chr1 186344889
528 PLA2G4A chr1 186798031
529 LINC01036 chr1 187259187
530 LINC01037 chr1 187412759
531 BRINP3 chr1 190445140
532 LINC01351 chr1 190447389
533 LINC01720 chr1 190594019
534 RGS18 chr1 192127591
535 GLRX2 chr1 193074608
536 CDC73 chr1 193091087
537 LINC01031 chr1 193273874
538 KCNT2 chr1 196577561
539 CFHR4 chr1 196857143
540 CRB1 chr1 197170591
541 DENND1B chr1 197744623
542 PTPRC chr1 198608097
543 MIR181A1HG chr1 198906558
544 LINC01222 chr1 198988093
545 NR5A2 chr1 199996729
546 KIF14 chr1 200587966
547 CAMSAP2 chr1 200708685
548 CACNA1S chr1 201081694
549 IGFN1 chr1 201159952
550 CSRP1 chr1 201465701
551 NAV1 chr1 201617449
552 IPO9-AS1 chr1 201798687
553 IPO9 chr1 201798287
554 ELF3 chr1 201979689
555 ARL8A chr1 202113871
556 LGR6 chr1 202163117
557 SYT2 chr1 202679551
558 KDM5B chr1 202778598
559 PPFIA4 chr1 202995648
560 ATP2B4 chr1 203595914
561 ZC3H11A chr1 203764664
562 SOX13 chr1 204042245
563 PLEKHA6 chr1 204329057
564 LRRN2 chr1 204654481
565 NFASC chr1 204797781
566 DSTYK chr1 205180727
567 LEMD1 chr1 205391214
568 RASSF5 chr1 206680862
569 FCMR chr1 207095235
570 YOD1 chr1 207226325
571 CR1 chr1 207669472
572 CR1L chr1 207818457
573 PLXNA2 chr1 208417665
574 LOC101930114 chr1 209848594
575 IRF6 chr1 209979520
576 SYT14 chr1 210111518
577 KCNH1 chr1 211307457
578 LPGAT1 chr1 212003580
579 INTS7 chr1 212209002
580 PPP2R5A chr1 212458878
581 RPS6KC1 chr1 213224574
582 PROX1-AS1 chr1 214159496
583 PROX1 chr1 214161277
584 PTPN14 chr1 214725024
585 CENPF chr1 214776531
586 KCNK2 chr1 215178884
587 KCTD3 chr1 215740721
588 GPATCH2 chr1 217804444
589 SPATA17 chr1 217804665
590 RRP15 chr1 218458628
591 LYPLAL1-AS1 chr1 219347130
592 LOC102723886 chr1 219730666
593 RAB3GAP2 chr1 220445843
594 MARK1 chr1 220701524
595 MARC1 chr1 220960038
596 DUSP10 chr1 221910242
597 MIA3 chr1 222791443
598 DISP1 chr1 222988430
599 SUSD4 chr1 223537544
600 CAPN8 chr1 223853436
601 TP53BP2 chr1 224033674
602 CNIH3 chr1 224622341
603 ENAH chr1 225840845
604 SRP9 chr1 225965514
605 ACBD3 chr1 226374423
606 STUM chr1 226736500
607 ITPKB chr1 226926876
608 COQ8A chr1 227127937
609 CDC42BPA chr1 227505826
610 ZNF678 chr1 227751219
611 SNAP47 chr1 227915868
612 WNT3A chr1 228194722
613 OBSCN chr1 228395830
614 RHOU chr1 228780393
615 URB2 chr1 229761962
616 GALNT2 chr1 230193535
617 PGBD5 chr1 230561674
618 COG2 chr1 230778201
619 TTC13 chr1 231114618
620 TRIM67 chr1 231298673
621 EXOC8 chr1 231473618
622 DISC1 chr1 231762560
623 PCNX2 chr1 233431459
624 SLC35F3 chr1 234040457
625 TOMM20 chr1 235292256
626 ARID4B chr1 235490802
627 TBCE chr1 235530674
628 B3GALNT2 chr1 235667781
629 GNG4 chr1 235813293
630 NID1 chr1 236228481
631 GPR137B chr1 236305831
632 EDARADD chr1 236557679
633 LGALS8 chr1 236681513
634 HEATR1 chr1 236767841
635 RYR2 chr1 237205701
636 CHRM3 chr1 239550229
637 FMN2 chr1 240255184
638 KMO chr1 241695433
639 WDR64 chr1 241815579
640 PLD5 chr1 242612784
641 CEP170 chr1 243418708
642 SDCCAG8 chr1 243419306
643 AKT3 chr1 244006584
644 LOC339529 chr1 244080703
645 ADSS chr1 244615436
646 C1orf101 chr1 244624672
647 DESI2 chr1 244816349
648 EFCAB2 chr1 245133170
649 CNST chr1 246729638
650 AHCTF1 chr1 247094726
651 ZNF670-ZNF695 chr1 247242115
652 ZNF670 chr1 247242115
653 ZNF124 chr1 247335319
654 NLRP3 chr1 247579457
655 GCSAML chr1 247670359
656 OR2L13 chr1 248100330
657 DDX11L1 chr1 11873
658 WASH7P chr1 29370
659 MIR6859-1 chr1 17436
660 MIR1302-2 chr1 30365
661 FAM138A chr1 36081
662 OR4F5 chr1 69090
663 LOC729737 chr1 140566
664 LOC100132287 chr1 323891
665 OR4F29 chr1 367658
666 LOC101928626 chr1 564389
667 MIR6723 chr1 567793
668 OR4F16 chr1 622034
669 LOC100133331 chr1 665731
670 LOC100288069 chr1 714068
671 FAM87B chr1 752750
672 LINC00115 chr1 762902
673 FAM41C chr1 812182
674 LOC100130417 chr1 855072
675 SAMD11 chr1 861120
676 NOC2L chr1 894679
677 KLHL17 chr1 895966
678 PLEKHN1 chr1 901876
679 PERM1 chr1 917497
680 HES4 chr1 935552
681 ISG15 chr1 948846
682 AGRN chr1 955502
683 RNF223 chr1 1009687
684 LINC01342 chr1 1072396
685 MIR200B chr1 1102483
686 MIR200A chr1 1103242
687 MIR429 chr1 1104384
688 TTLL10 chr1 1109285
689 TNFRSF18 chr1 1142089
690 TNFRSF4 chr1 1149548
691 SDF4 chr1 1167447
692 B3GALT6 chr1 1167628
693 UBE2J2 chr1 1209234
694 SCNN1D chr1 1215815
695 ACAP3 chr1 1243269
696 MIR6726 chr1 1231550
697 PUSL1 chr1 1243959
698 INTS11 chr1 1260067
699 MIR6727 chr1 1247946
700 CPTP chr1 1260142
701 TAS1R3 chr1 1266725
702 DVL1 chr1 1284492
703 MIR6808 chr1 1275088
704 MXRA8 chr1 1293927
705 CCNL2 chr1 1334718
706 LOC148413 chr1 1334909
707 MRPL20 chr1 1342693
708 ANKRD65 chr1 1356824
709 TMEM88B chr1 1361507
710 LINC01770 chr1 1369953
711 VWA1 chr1 1370902
712 ATAD3C chr1 1385068
713 ATAD3B chr1 1407134
714 ATAD3A chr1 1447522
715 TMEM240 chr1 1475740
716 SSU72 chr1 1510262
717 FNDC10 chr1 1535476
718 MIB2 chr1 1550794
719 MMP23B chr1 1567559
720 SLC35E2B chr1 1624243
721 MMP23A chr1 1631377
722 CDK11A chr1 1656004
723 SLC35E2 chr1 1677438
724 GNB1 chr1 1822556
725 CALML6 chr1 1846265
726 TMEM52 chr1 1850740
727 CFAP74 chr1 1935276
728 GABRD chr1 1950767
729 LOC105378591 chr1 1981509
730 FAAP20 chr1 2126214
731 MORN1 chr1 2323190
732 LOC100129534 chr1 2284100
733 RER1 chr1 2323213
734 PEX10 chr1 2344010
735 PLCH2 chr1 2398897
736 PANK4 chr1 2458067
737 HES5 chr1 2461684
738 LOC115110 chr1 2488450
739 LOC100996583 chr1 2497973
740 FAM213B chr1 2517898
741 MMEL1 chr1 2564481
742 ACTRT2 chr1 2938045
743 LINC00982 chr1 2984289
744 MIR4251 chr1 3044538
745 ARHGEF16 chr1 3371146
746 MIR551A chr1 3477354
747 TPRG1L chr1 3541555
748 WRAP73 chr1 3566671
749 TP73 chr1 3569128
750 TP73-AS1 chr1 3663335
751 SMIM1 chr1 3689324
752 LRRC47 chr1 3713068
753 CEP104 chr1 3773797
754 C1orf174 chr1 3816857
755 LINC01134 chr1 3816967
756 LINC01346 chr1 4000671
757 LINC01777 chr1 4472110
758 MIR4417 chr1 5624130
759 MIR4689 chr1 5922801
760 CHD5 chr1 6240194
761 RPL22 chr1 6259679
762 LOC102724450 chr1 6265840
763 RNF207 chr1 6266188
764 LINC00337 chr1 6296299
765 HES3 chr1 6304251
766 GPR153 chr1 6321035
767 HES2 chr1 6479979
768 ESPN chr1 6484847
769 MIR4252 chr1 6489956
770 TNFRSF25 chr1 6526255
771 NOL9 chr1 6614658
772 TAS1R1 chr1 6615337
773 ZBTB48 chr1 6640050
774 KLHL21 chr1 6662958
775 PHF13 chr1 6673755
776 THAP3 chr1 6684924
777 DNAJC11 chr1 6761966
778 LINC01672 chr1 6784804
779 VAMP3 chr1 7831328
780 UTS2 chr1 7913104
781 PARK7 chr1 8021713
782 ERRFI1 chr1 8086393
783 LINC01714 chr1 8268731
784 LOC102724552 chr1 8484704
785 SNORD128 chr1 8554973
786 ENO1 chr1 8931635
787 MIR6728 chr1 8926649
788 ENO1-AS1 chr1 8938893
789 CA6 chr1 9005892
790 SLC2A7 chr1 9086404
791 SLC2A5 chr1 9129887
792 MIR34AHG chr1 9242397
793 MIR34A chr1 9211836
794 LINC01759 chr1 9242262
795 SPSB1 chr1 9352940
796 LOC100506022 chr1 9488975
797 SLC25A33 chr1 9599527
798 TMEM201 chr1 9648931
799 PIK3CD chr1 9711789
800 PIK3CD-AS1 chr1 9714644
801 PIK3CD-AS2 chr1 9747632
802 LZIC chr1 10003485
803 NMNAT1 chr1 10002980
804 MIR5697 chr1 10027438
805 RBP7 chr1 10057254
806 MIR1273D chr1 10287775
807 PGD chr1 10459048
808 CENPS chr1 10490158
809 APITD1-CORT chr1 10490158
810 CORT chr1 10509775
811 DFFA chr1 10532613
812 TARDBP chr1 11072678
813 MASP2 chr1 11107296
814 SRM chr1 11120091
815 LOC105376736 chr1 11159731
816 MTOR-AS1 chr1 11203954
817 ANGPTL7 chr1 11249345
818 UBIAD1 chr1 11333254
819 DISP3 chr1 11539294
820 LINC01647 chr1 11669587
821 FBXO2 chr1 11714888
822 FBXO44 chr1 11714431
823 FBXO6 chr1 11724149
824 MAD2L2 chr1 11741271
825 DRAXIN chr1 11751780
826 C1orf167 chr1 11822249
827 LOC102724659 chr1 11839676
828 MTHFR chr1 11863734
829 CLCN6 chr1 11866152
830 NPPA-AS1 chr1 11900375
831 NPPA chr1 11907840
832 NPPB chr1 11918992
833 RNU5E-1 chr1 11968210
834 KIAA2013 chr1 11986485
835 PLOD1 chr1 11994723
836 MIIP chr1 12079298
837 MIR6729 chr1 12089214
838 MIR7846 chr1 12226999
839 TNFRSF1B chr1 12227059
840 MIR4632 chr1 12251769
841 SNORA59A chr1 12567299
842 DHRS3 chr1 12656409
843 MIR6730 chr1 12639051
844 AADACL3 chr1 12776117
845 C1orf158 chr1 12806133
846 PRAMEF12 chr1 12834990
847 PRAMEF1 chr1 12851545
848 PRAMEF11 chr1 12891264
849 HNRNPCL1 chr1 12908609
850 PRAMEF2 chr1 12916940
851 PRAMEF4 chr1 12946025
852 PRAMEF10 chr1 12958101
853 PRAMEF7 chr1 12976466
854 PRAMEF6 chr1 13007406
855 PRAMEF18 chr1 13035498
856 PRAMEF34P chr1 13167193
857 HNRNPCL2 chr1 13184326
858 PRAMEF36P chr1 13194517
859 PRAMEF25 chr1 13219584
860 PRAMEF5 chr1 13359818
861 PRAMEF33P chr1 13409134
862 PRAMEF13 chr1 13452656
863 PRAMEF8 chr1 13611533
864 PRAMEF15 chr1 13641972
865 PRAMEF14 chr1 13673511
866 PRAMEF19 chr1 13698405
867 PRAMEF17 chr1 13716091
868 PRAMEF20 chr1 13736906
869 LRRC38 chr1 13840242
870 PDPN chr1 13910251
871 PRDM2 chr1 14026734
872 TMEM51 chr1 15479027
873 C1orf195 chr1 15498120
874 EFHD2 chr1 15736390
875 CTRC chr1 15764937
876 CELA2A chr1 15783222
877 CELA2B chr1 15802595
878 CASP9 chr1 15850940
879 AGMAT chr1 15911605
